,DAY,Description,Temperature,Wind Speed,Humidit,Precipitation
0,Tonight,Partly Cloudy,--80°,WSW 6 mph ,78%,20%
1,Mon,Partly Cloudy,89°80°,WSW 10 mph ,67%,10%
2,Tue,Partly Cloudy,92°81°,W 11 mph ,66%,10%
3,Wed,Scattered Thunderstorms,93°82°,W 9 mph ,67%,50%
4,Thu,Thunderstorms,90°81°,NW 8 mph ,74%,80%
5,Fri,Scattered Thunderstorms,91°81°,S 9 mph ,71%,50%
6,Sat,Partly Cloudy,91°81°,SSW 9 mph ,68%,20%
7,Sun,Partly Cloudy,91°82°,SW 9 mph ,70%,20%
8,Mon,Partly Cloudy,90°82°,WSW 11 mph ,70%,20%
9,Tue,Partly Cloudy,89°81°,WSW 12 mph ,70%,20%
10,Wed,Partly Cloudy,89°81°,WSW 11 mph ,69%,10%
11,Thu,Partly Cloudy,89°80°,WSW 10 mph ,69%,10%
12,Fri,Partly Cloudy,91°81°,WSW 9 mph ,67%,10%
13,Sat,Partly Cloudy,92°81°,W 9 mph ,66%,10%
14,Sun,Partly Cloudy,93°82°,W 8 mph ,63%,20%
